,name,type,formed,Search Location,stage,company,acquired,Searchfund Index,searchWebsite,companyWebsite,industry,Acquistion Location,searchers,investors,associates,Search Length,search long,search lat,acquisition lat,acquisition long,Miles Between Search and Acquisiton
612,Blue Cord Capital  ,Self Funded,2020-07-01,"Tampa, FL, USA",Acquired,Express Trailers,2021-02-19,1505,www.bluecordcapital.com,www.expresstrailersfl.com,Manufacturing,"Clearwater, FL, USA",'John Hubbard','Sam Rosati',,233,-82.458444,27.9477595,27.9658533,-82.8001026,20.8889649368145
613,Alerce Capital Partners  ,Traditional,2020-01-01,"London, UK",Acquired,Greenfingers Group,2021-03-01,2028,https://www.alerce.co.uk/,https://www.greenfingers-group.co.uk/,Business Services,"Lancashire, UK","'Daniel Serdio', 'Jose Villegas'",,,425,-0.1276474,51.5073219,53.8611703,-2.5650887919475496,191.99749811689134
614,PPR Capital  ,Self Funded,2020-06-01,"Melbourne VIC, Australia",Acquired,Smokeshield,2021-03-01,1426,http://pprcapital.com/,https://smokeshield.com.au/,Wholesale,"Melbourne VIC, Australia","'Nikita Gossain', 'Jake Smorgon '",,,273,144.9631608,-37.8142176,-37.8142176,144.9631608,0.0
615,abcd  ,Self Funded,,"Sydney NSW, Australia",Acquired,Rhinoplay,2021-03-01,1993,,https://www.rhinoplay.com.au/,,"Sydney New South Wales, Australia",'Henry Greenacre',,,,151.2164539,-33.8548157,-33.8548157,151.2164539,0.0
616,Bloom Venture Partners  ,Traditional,2020-01-01,"Toronto, ON, Canada",Acquired,Viostream,2021-03-01,1830,https://www.bloomvp.com/,https://viostream.com/,Software,"Sydney NSW, Australia","'Jay Vasantharajah', 'Bart Macdonald'","'Andy Preikschat', 'Steve Ressler'",,425,-79.3839347,43.6534817,-33.8548157,151.2164539,9672.402916638584
617,Kent Business Investors  ,Traditional,2019-06-01,"Ashford, UK",Acquired,Index Enclosures Ltd,2021-03-01,1848,,http://atex-enclosure.com/,Manufacturing,"Ashford, UK",'Alex Pawle',,,639,0.8722566,51.148555,51.148555,0.8722566,0.0
618,"Armatage Capital, LLC  ",Traditional,2018-10-31,"Minneapolis, MN, USA",Acquired,Meridian Title Company,2021-03-05,918,www.armatagecapital.com,www.meridiantitle.com,Insurance,"South Bend, IN, USA",'Randy Rempp',"'David Carver', 'Jim Edmunds', 'Rich Kelley', 'Todd Tracey', 'Larry Dunn', 'Richard Augustyn', 'Jeff Stevens', 'Ashley Giesler'",,856,-93.2654692,44.9772995,38.622348,-105.518825,767.5094798575037
619,Seneca Trails Capital  ,Traditional,2019-07-25,"Houston, TX, USA",Acquired,Lion Industrial Resources,2021-04-01,1194,https://senecatrailscapital.com/,https://www.lionyes.com/,Business Services,"Channelview, Texas, United States",'Vik Bakshi',"'Jeff Stevens', 'Ashley Giesler', 'Paul Davies', 'Richard Augustyn', 'Larry Dunn', 'Will Thorndike', 'Mark Hilderbrand ', 'Kurt Leedy', 'Kyle Coots', 'Jason Pananos', 'Jay Davis', 'Joel Peterson', 'Jeff Reamer', 'Rich Kelley', 'Jim Edmunds', 'David Carver', 'Todd Tracey', 'Sara Rosenthal', 'Badge Stone', 'Macon Carroll', 'Rameez Ansari ', 'Steve Lau ', 'Lucas Braun', 'Ryan Robinson ', 'Peter Kelly', 'Trevor Forbes', 'Troy Porras', 'Doug Tudor ', 'A.J. Wasserstein', 'Kent Weaver'",,616,-95.3676974,29.7589382,29.7760599,-95.1146533,15.222695125891397
620,Banyan Capital  ,Self Funded,2020-05-01,"London, UK",Acquired,,2021-04-22,1557,,,,,'Dhaval Shah',,,356,-0.1276474,51.5073219,NaN,NaN,NaN
621,"Veritas Capital Management, LLC ",Traditional,2016-07-01,"Rocky Mount, North Carolina, United States",Acquired,"Simmons & Harris, Inc",2021-05-01,1970,,http://www.simmonsandharris.com/,Real Estate,,'Benton Moss',,,1765,-77.7956949,35.9423833,NaN,NaN,NaN
622,Succession Management Capital  ,Self Funded,,"Redwood City, CA, USA",Acquired,AMM Fencing,2021-05-01,1669,https://www.successionmanagementcapital.com,https://www.ammfencing.com/,Construction,"Pleasanton, California, United States","'Leland Char', 'Matthew Wong'",,,,-122.232523,37.4863239,37.6624312,-121.8746789,23.066265335845394
623,LML Capital  ,Traditional,,"San Francisco, CA, USA",Acquired,Ward Road Pharmacy,2021-05-03,1939,https://lmlcap.com/,http://wardroadrx.com/,Healthcare,"Denver, CO, USA",'Lance Barnard',,,,-122.419906,37.7790262,39.7392364,-104.9848623,947.5321045959595
624,HCM Mirai  ,Self Funded,2021-05-12,"Derby, UK",Acquired,Anglian Lifts Ltd,2021-05-14,2056,,www.anglian-lifts.co.uk,Healthcare,"Peterborough, UK",'Oliver Mellor',,,2,-1.4761491,52.9212617,52.5725769,-0.2427336,56.934646908605515
