,Acquisitions,Explore,Inactive,Raise,Search,Investments,Acquisition Rate,Failure Rate,Still Searching
'Michael De Anda ',9.0,0.0,4.0,0.0,0.0,13.0,0.6923076923076923,0.3076923076923077,0.0
'Gavin Turner ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Jason Payne ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Brian Collins ',1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0
 'Ted McCarthy',28.0,0.0,6.0,0.0,12.0,46.0,0.6086956521739131,0.13043478260869565,0.2608695652173913
 'Richard Reese ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Kevin Taweel',51.0,0.0,5.0,0.0,9.0,65.0,0.7846153846153846,0.07692307692307693,0.13846153846153847
 'Ed Weisiger ',7.0,0.0,1.0,0.0,17.0,25.0,0.28,0.04,0.68
'Tom Matlack',15.0,0.0,0.0,0.0,2.0,17.0,0.8823529411764706,0.0,0.11764705882352941
 'Ritz Steytler',2.0,0.0,0.0,0.0,1.0,3.0,0.6666666666666666,0.0,0.3333333333333333
 'Gerald Risk',74.0,1.0,21.0,0.0,28.0,124.0,0.5967741935483871,0.1693548387096774,0.23387096774193547
'Michael Aubrey ',4.0,0.0,0.0,0.0,1.0,5.0,0.8,0.0,0.2
'Frank Genovese ',2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
 'Jeff Manley ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Ashford Equity Partners ',1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.5
 'Dewitt Thompson ',2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
 'Ephriam Hoover ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Susan Pohlmeyer',26.0,1.0,4.0,0.0,31.0,62.0,0.41935483870967744,0.06451612903225806,0.5161290322580645
 'Kirk Riedinger',17.0,0.0,1.0,0.0,14.0,32.0,0.53125,0.03125,0.4375
 'Marc Bellaud ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Oak Drive Capital ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
