,name,type,formed,Search Location,stage,company,acquired,Searchfund Index,searchWebsite,companyWebsite,industry,Acquistion Location,searchers,investors,associates,Search Length,search long,search lat,acquisition lat,acquisition long,Miles Between Search and Acquisiton
2038,Delphis Capital  Stanford University - Graduate School of Business,Traditional,2007-10-01,"San Jose, CA, United States",Inactive,,,479,,,,,'Patrick Arippol ',,,,-121.890583,37.3361905,NaN,NaN,NaN
2039,Atlantic Growth Partners  ,Traditional,2014-01-01,"New York, NY, United States",Inactive,,,735,,,,,'Allie Ahalya Nava',"'Richard Augustyn', 'Larry Dunn'",,,-74.0060152,40.7127281,NaN,NaN,NaN
2040,NoNameYet  ,Traditional,,Germany,Raise,,,991,,,,,'Hannes Schill',,,,10.4234469,51.0834196,NaN,NaN,NaN
2041,Mitchell Street Capital  ,Self Funded,2019-08-25,"San Jose, CA, USA",Search,,,1247,https://www.mitchellstreetcapital.com,,,,'Daniel Scott',,,,-121.890583,37.3361905,NaN,NaN,NaN
2042,Consultant at McKinsey & Company  ,Self Funded,,"Atlanta, GA, USA",Explore,,,1759,,,,,'Justin Collins',,,,-84.3902644,33.7489924,NaN,NaN,NaN
2043,Oasis Capital Israel  ,Traditional,2021-04-28,"Tel Aviv-Yafo, Israel",Search,,,2015,,,,,'Lior Zichron',"'Sandro Mina', 'Felipe Corcuera', 'Warren Chan', 'Clement Lucas', 'Cecilia Lulli', 'Stephanie Warner ', 'Jeff Stevens', 'Ashley Giesler', 'Vince Vo ', 'Greg Matthews', 'Mike Mahre ', 'Bret Comolli', 'Jim Ellis', 'Gerald Risk', 'Kevin Taweel', 'Moudi (Mordechai) Ben Shach ', 'Jan Simon', 'Kristoff Puelinckx', 'Omer Ben Shach'",,,34.7818064,32.0852997,NaN,NaN,NaN
2044,Bridge Capital  ,Traditional,2021-08-01,"Stanford, California, United States",Search,,,2271,https://bdgcap.com/,,,,'Anderson Gava','Jos Moreno',,,-122.17029258409188,37.4265407,NaN,NaN,NaN
2045,J Capital Partners  ,Self Funded,2016-01-01,"Madrid, Spain",Search,,,224,http://jcapitalpartners.es/,,,,'Javier Fernandez',"'Carlos Gila', 'Jorge Montes '",,,-3.7035825,40.4167047,NaN,NaN,NaN
2046,"Denver Growth Partners, LLC  Harvard University - Harvard Business School",Traditional,2005-04-01,"Denver, CO, United States",Inactive,,,480,,,,,"'Robb Caseria ', 'Ethan Martin '",,,,-104.9848623,39.7392364,NaN,NaN,NaN
2047,COI Holdings  ,Traditional,2017-07-01,"Los Angeles, CA, USA",Search,,,1248,https://coiholdings.org,,,,'Dustin Carreon',,,,-118.242766,34.0536909,NaN,NaN,NaN
2048,Single Anchor Capital  ,Self Funded,2020-03-18,"Washington, USA",Search,,,1504,www.singleanchorcapital.com,,,,'Will Favia',,,,-77.0365427,38.8950368,NaN,NaN,NaN
